id,pais,nivel_educacional,anos_exp_pro,tipo_dev,linguagens,linguagens_desejadas,bancos,plataformas,modelo_trabalho,tamanho_empresa,satisfacao,salario_anual_usd,faixa_etaria,tipo_emprego,cargo_ic_ou_gestao,grupo_exp,linguagem_principal,satisfacao_label,satisfacao_score,faixa_salarial
1,United States of America,Ensino Fundamental,,,,,,,Remoto,,,,Under 18 years old,"Employed, full-time",,,,,,
2,United Kingdom of Great Britain and Northern Ireland,Graduação,17.0,"Developer, full-stack",Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Python;TypeScript,Bash/Shell (all shells);Go;HTML/CSS;Java;JavaScript;Kotlin;Python;TypeScript,Dynamodb;MongoDB;PostgreSQL,Amazon Web Services (AWS);Heroku;Netlify,Remoto,,,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Bash/Shell (all shells),,,
3,United Kingdom of Great Britain and Northern Ireland,Mestrado,27.0,Developer Experience,C#,C#,Firebase Realtime Database,Google Cloud,Remoto,,,,45-54 years old,"Employed, full-time",,20+ anos,C#,,,
7,United States of America,Pós-graduação/Doutorado,7.0,Academic researcher,R,R,,,Remoto,,,,35-44 years old,"Employed, full-time",,5–9 anos,R,,,
8,Uzbekistan,Ensino Médio,,Student,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,Supabase,Firebase;Netlify;Vercel,,,,,18-24 years old,"Student, full-time;Not employed, but looking for work",,,HTML/CSS,,,
9,United Kingdom of Great Britain and Northern Ireland,Pós-graduação/Doutorado,,Academic researcher,Lua,Lua,,,Presencial,,,,45-54 years old,"Employed, full-time",,,Lua,,,
10,Serbia,Mestrado,11.0,"Developer, full-stack",HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,MongoDB;MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Firebase;Vercel,Remoto,,,,35-44 years old,"Independent contractor, freelancer, or self-employed",,10–19 anos,HTML/CSS,,,
11,United States of America,Graduação,,Project manager,JavaScript;Python;Ruby,C#;Crystal;Java;JavaScript;Python;Ruby,Elasticsearch;MongoDB;PostgreSQL;SQLite,Amazon Web Services (AWS);Google Cloud,Remoto,,8.0,,35-44 years old,"Employed, full-time",Individual contributor,,JavaScript,8.0,,
12,Poland,Pós-graduação/Doutorado,25.0,Developer Advocate,C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;HTML/CSS;JavaScript;PowerShell;Rust;SQL;TypeScript,Microsoft Access;Microsoft SQL Server;PostgreSQL;SQLite,Cloudflare,Presencial,,,,45-54 years old,"Employed, full-time",,20+ anos,C,,,
13,United States of America,Graduação,12.0,"Developer, back-end",Bash/Shell (all shells);C#;JavaScript;PowerShell;VBA,Bash/Shell (all shells);JavaScript;VBA,MySQL,Amazon Web Services (AWS);Google Cloud;Hetzner;VMware,Híbrido,,8.0,,35-44 years old,"Employed, full-time",Individual contributor,10–19 anos,Bash/Shell (all shells),8.0,,
14,Philippines,Graduação,,Other (please specify):,PHP;Python,Python,MariaDB;MySQL,,,,,,35-44 years old,"Not employed, and not looking for work",,,PHP,,,
15,Bulgaria,Mestrado,10.0,,C;C++,C;C++,Oracle,,Híbrido,,,,25-34 years old,"Employed, full-time",,10–19 anos,C,,,
16,Switzerland,Faculdade incompleta,27.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;VBA;Visual Basic (.Net),C#;SQL,Microsoft Access;Microsoft SQL Server,,Híbrido,,5.0,,45-54 years old,"Employed, full-time",Individual contributor,20+ anos,C#,5.0,,
18,India,Graduação,3.0,"Developer, front-end",HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,,Amazon Web Services (AWS);Digital Ocean;Firebase;Heroku,Remoto,,,,18-24 years old,"Independent contractor, freelancer, or self-employed",,2–4 anos,HTML/CSS,,,
19,Germany,Faculdade incompleta,10.0,"Developer, full-stack",C#;HTML/CSS;JavaScript;PHP;Python;SQL,C#;HTML/CSS;JavaScript;SQL,Microsoft Access;Microsoft SQL Server;MySQL;SQLite,Microsoft Azure,Híbrido,,10.0,,25-34 years old,"Employed, full-time",Individual contributor,10–19 anos,C#,10.0,,
20,United Kingdom of Great Britain and Northern Ireland,Faculdade incompleta,11.0,Database administrator,PowerShell;SQL,PowerShell;Python;SQL,Microsoft SQL Server,Microsoft Azure,Híbrido,,,,35-44 years old,"Employed, full-time",,10–19 anos,PowerShell,,,
21,Germany,Mestrado,0.5,Other (please specify):,Bash/Shell (all shells);HTML/CSS;PHP;Python;SQL;VBA,C++;Java;JavaScript;PHP;PowerShell;Python;R;SQL,MySQL,,Híbrido,,6.0,,25-34 years old,"Employed, full-time",Individual contributor,0–1 ano,Bash/Shell (all shells),6.0,,
22,Germany,Mestrado,11.0,"Developer, full-stack",C#;HTML/CSS;Java;PHP;SQL,C#;HTML/CSS;Java;PHP;SQL,MariaDB;Microsoft SQL Server;MySQL,,Presencial,,,,35-44 years old,"Employed, full-time",,10–19 anos,C#,,,
23,Ireland,Graduação,18.0,"Developer, back-end",Bash/Shell (all shells);C#;F#;JavaScript;PowerShell;SQL,Bash/Shell (all shells);C#;F#;Go,Redis;SQLite,Amazon Web Services (AWS),Remoto,,9.0,,45-54 years old,"Employed, full-time",Individual contributor,10–19 anos,Bash/Shell (all shells),9.0,,
24,United States of America,Graduação,37.0,"Developer, desktop or enterprise applications",HTML/CSS;JavaScript;PHP;Python;SQL,HTML/CSS;JavaScript;PHP;Python;Rust;SQL,MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS),Híbrido,,,,55-64 years old,"Employed, full-time",,20+ anos,HTML/CSS,,,
25,Italy,Graduação,15.0,"Developer, full-stack",Clojure;Java;JavaScript;SQL,Clojure;Julia;SQL,MariaDB;MySQL;Oracle;PostgreSQL,Google Cloud,Remoto,,4.0,,35-44 years old,"Employed, full-time;Student, part-time",Individual contributor,10–19 anos,Clojure,4.0,,
26,United States of America,Técnico/Associado,20.0,"Developer, full-stack",C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA;Visual Basic (.Net),TypeScript,Microsoft Access;MySQL;Snowflake;SQLite,Amazon Web Services (AWS);Microsoft Azure,Híbrido,,,,45-54 years old,"Employed, full-time",,20+ anos,C#,,,
